ID;Institution;academic_year;location;programme;study_mode;cohort;Would you like to give your institution any other feedback on the content and organisation of your course programme?;Would you like to give your institution any other feedback on the teachers on your course programme?;Would you like to give your institution any other feedback on support/mentoring
289;1;2026/27;Eindhoven;ICT & Business;Full-time;First-year;Kunnen de docenten alsjeblieft duidelijker zijn in [], want het is soms best verwarrend.;I wish there was a dedicated helpdesk for quick mentor responses, please.;Ik zou meer opties willen voor ondersteuning die rekening houden met [].
290;2;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;I feel that the course schedule is too packed, leaving little time for deeper understanding.;Het is een overweldigende groep setting en we hebben meer kleine interactie nodig.;Ik hoop dat de universiteit meer flexibiliteit in de beschikbaarheid van de begeleiders kan inbouwen.
291;2;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;De criteria voor de grote opdrachten waren te vaag en hielpen nauwelijks met [].;Could the institution please stabilize the teaching staff? It's exhausting.;[] [] betrokkenheid [], eerlijk gezegd.
292;2;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;Ik heb echt nodig feedback over de beoordelingssnelheid van [NAME], het is te traag.;Het is lastig om deadlines te halen als ik weken wacht op feedback [].;[] is goed, maar een betere integratie tussen mentorschap en mentale gezondheidszorg is gewenst.
293;2;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;I don't understand how the grading weight is distributed across the projects.;I wish the teaching staff had more alignment regarding the actual program requirements.;Ik waardeer de inspanningen om een diverse omgeving te creëren, maar meer lokale tradities zouden helpen.
294;1;2026/27;Tilburg;ICT & Business;Full-time;Second-year;[]? Het is echt overweldigend.;The delay in mentor feedback makes it difficult to plan my studies effectively and efficiently.;Het advies over studiemogelijkheden was heel nuttig en zeer [] vakgebied.
295;1;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;[] we [] in de case studies zouden zien.;Het proactieve contact van de docenten geeft een gevoel van gemoedsrust en zekerheid.;[] extra sessieuren te creëren voor de studenten?
296;1;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;Seriously, we are drowning in assignments, the pacing feels totally unmanageable.;The lack of prompt feedback significantly hindered my ability to progress smoothly.;Graag een meer gestructureerde en laagdrempelige [] kunnen krijgen.
297;2;2026/27;Eindhoven;Cyber Security;Part-time;First-year;De kantooruren zijn vaak moeilijk te vinden en de docenten lijken erg druk.;Ik denk dat de interactie meer gericht zou moeten zijn om minder een monoloog te zijn.;Er zijn goede initiatieven, [] studenten die worstelen.
298;1;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;The pace was excellent, but I wish the instructors would slow down when covering complex formulas.;Ik moet de mentors vragen om meer aandacht te besteden [] [NAME].;[] zichtbare en laagdrempelige welzijnsinformatie te delen?
299;1;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;Ik vind de focus op kritisch denken en diepgang erg waardevol [].;[] feedback willen over de beste carrièrestappen ná dit programma.;Ik voel me [] psycholoog, [] was lastig om afspraken [].
300;1;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;I really need clearer guidelines on what constitutes excellent work for this module.;It feels great that the instructors anticipate our needs rather than just waiting for us to struggle.;Ik heb meer behoefte [], concrete antwoorden in plaats van alleen beleidsstukken.
301;1;2026/27;Eindhoven;Software Engineering;Full-time;First-year;The poor synchronization of resources across different modules needs immediate attention from the faculty.;[] aanpak [], waardoor ik het gevoel kreeg dat ik alleen een student nummer was.;I feel generally supported, but the materials lack sufficient representation of various cultures.
302;2;2026/27;Tilburg;Cyber Security;Full-time;Second-year;Could you please allocate []? The limited schedule seriously compromises our learning experience.;[] persoonlijke feedback op mijn projecten [].;I found the curriculum advising process straightforward and highly informative overall.
303;1;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;The technology used for the live classes often glitches, making it hard to follow the lecture.;The constant change of instructors makes it hard to build a consistent understanding of the curriculum.;Het is frustrerend wanneer ik na een gemiste deadline [] ik moet aanspreken.
304;2;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;De communicatie is traag en het is moeilijk om te weten wanneer we moeten zijn.;The feedback felt a bit generic, as if the discussion points were read directly from a manual.;[], gecoördineerde boekingspagina zou zijn.
305;2;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;The teachers are masters at making difficult subjects both engaging and incredibly practical.;Ik voel dat de docenten ons te veel groepsles geven en te weinig individuele begeleiding.;Zouden we kunnen kijken naar een iets intensiever rooster [], alstublieft?
306;2;2026/27;Tilburg;Software Engineering;Part-time;Second-year;We are frustrated by [NAME]’s slow response time on grades, dit zou dringend aangepakt moeten worden.;[] of de begeleiders meer []? [] is erg verwarrend.;[] peer-to-peer support programma's [].
307;2;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;It feels like the grading criteria are too demanding given the sheer volume of tasks.;Het programma zou baat hebben bij meer sessies van alumni die in de industrie werken.;I wish the mentoring was more consistent, maybe a quick call [].
308;2;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;We really need easier ways to connect with our instructors when we have specific questions.;It's confusing when the mentors' suggestions seem to contradict the stated guidelines from the department.;[] activiteiten binnen het netwerk met andere [].
309;1;2026/27;Eindhoven;ICT & Business;Full-time;First-year;The explanations are very detailed, yet occasionally too academic and lacking practical context.;[] over sollicitatieprocessen.;Extra kleine complimenten maken een groot verschil in [] gemoedstoestand.
310;2;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;Could the course provide clearer guidelines on the grading rubric for essays?;Er is behoefte [] uniformiteit, de docenten geven telkens andere richtlijnen.;I really appreciated the chance to talk through tough subjects with my peers, it made things less overwhelming.
311;1;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;Please make sure all necessary digital tools function smoothly before the next session.;[] contact met ervaren [].;De communicatie over [] is vaak te traag en ik weet [] ik moet doen.
312;1;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;It feels like we are glossing over key concepts because [] are insufficient.;Extra workshops over het opstellen van effectieve portfolio's zouden top zijn voor ons.;Ik waardeer de counselingdiensten, maar er zou meer focus kunnen komen op stresspreventie workshops.
313;1;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;Could the institution address [NAME]'s grading speed? It's becoming a major issue for students.;I really appreciate how the mentors reach out before I even realize I need help.;I appreciate the personalized attention and direction I received from my assigned advisor.
314;1;2026/27;Tilburg;ICT & Business;Full-time;Second-year;It's difficult to get clear answers from some lecturers, their response time is frankly disappointing.;It's really frustrating to have three different mentors [], consistency would be much appreciated.;Het programma is ondersteunend, [].
315;2;2026/27;Den Bosh;HBO-ICT;Part-time;Third-year;More dedicated time for Q&A would greatly help, given the limited lecture hours.;De communicatie is traag en het voelt alsof niemand mijn vragen serieus neemt.;[] sporadisch was, [] voorspelbaar.
316;2;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;Their ability to connect academic theory with real-world industry challenges was fantastic.;De docenten zouden baat hebben bij een centrale update over de nieuwste beleidsregels.;Ik waardeer de aandacht voor mentale gezondheid, maar meer groepsactiviteiten zouden helpen.
317;2;2026/27;Eindhoven;Cyber Security;Full-time;First-year;The connection between the readings and the final assessment is unclear to many of us.;Het is moeilijk om persoonlijke vragen te stellen als het zo snel een grote groep wordt.;[], het motiveert mij enorm om door te gaan met [].
318;2;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;Het is echt moeilijk om te focussen op de volgende modules vanwege [NAME] trage feedback.;I think the grading system could benefit from more transparent criteria, making feedback clearer.;More immediate acknowledgement of serious issues, rather than waiting [] for a formal answer.
319;1;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;Smith's grading is incredibly slow, which is really frustrating for my studies.;[] met kleine workshops waar we echt diepgang kunnen vinden in plaats van een grote groep.;Ik heb meer behoefte [] na een gesprek, in plaats van beloften over latere actie.
320;2;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;I wish the course material and teacher explanations were presented in a more organized and digestible manner.;De mentoren zijn erg behulpzaam, [] met [].;De sessies over studiekeuze waren zeer informatief en hebben mijn blik op mijn toekomst verbreed.
321;2;2026/27;Eindhoven;Software Engineering;Full-time;First-year;Het is frustrerend dat we zo weinig contact hebben met de docenten [].;Er zou meer ruimte moeten [] discussies met de docenten.;De feedback was heel specifiek en hanteerbaar, waardoor [] [].
322;1;2026/27;Tilburg;Cyber Security;Full-time;Second-year;Their real-world case studies truly enhance our understanding and market perspective.;De mentor reageert [], ik wacht weken op antwoorden op dringende vragen.;I appreciate the welcoming atmosphere, but some international students feel overlooked.
323;1;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;Het is echt moeilijk om een afspraak te krijgen met docenten, [] planning is [].;De directe koppeling met de industrie maakt het leren heel relevant en bruikbaar.;Could we get a clear outline of the assessment weights for different projects and exams?
324;2;2026/27;Venlo;ICT & Business;Part-time;Fourth-year;Could the department address the grading speed? [NAME]'s turnaround time is becoming a major issue.;We desperately need better guidelines on mentor response times for urgent student queries.;A slight increase in the frequency of meetings would really help us maintain momentum and focus.
325;2;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;[] uitleg over de beoordelingsmechanismen zou het lerenproces veel makkelijker maken.;Het is frustrerend dat de online studenten de tweede keus lijken te zijn.;Het is moeilijk om support te vinden als het antwoord na weken komt.
326;1;2026/27;Tilburg;Software Engineering;Full-time;Second-year;The feedback I received was too general to actually improve future submissions or understanding.;I felt very supported because the teachers consistently reached out when needed.;It would be great to get advice on networking within the industry, too.
